Country,Place of birth,Gender,Rate,Year,Unit,Value
Australia,Foreign-born,Men,Employment rate,2000,Percentage,74.0
Australia,Foreign-born,Men,Employment rate,2001,Percentage,73.9
Australia,Foreign-born,Men,Employment rate,2002,Percentage,74.0
Australia,Foreign-born,Men,Employment rate,2003,Percentage,74.1
Australia,Foreign-born,Men,Employment rate,2004,Percentage,75.6
Australia,Foreign-born,Men,Employment rate,2005,Percentage,76.7
Australia,Foreign-born,Men,Employment rate,2006,Percentage,77.1
Australia,Foreign-born,Men,Employment rate,2007,Percentage,77.8
Australia,Foreign-born,Men,Employment rate,2008,Percentage,78.6
Australia,Foreign-born,Men,Employment rate,2009,Percentage,76.7
Australia,Foreign-born,Men,Employment rate,2010,Percentage,78.0
Australia,Foreign-born,Men,Employment rate,2011,Percentage,79.3
Australia,Foreign-born,Men,Employment rate,2012,Percentage,78.6
Australia,Foreign-born,Men,Employment rate,2013,Percentage,77.8
Australia,Foreign-born,Men,Employment rate,2014,Percentage,77.7
Australia,Foreign-born,Men,Employment rate,2015,Percentage,78.8
Australia,Foreign-born,Men,Employment rate,2016,Percentage,78.8
Australia,Foreign-born,Men,Employment rate,2017,Percentage,79.2
Australia,Foreign-born,Men,Employment rate,2018,Percentage,79.9
Australia,Foreign-born,Men,Employment rate,2019,Percentage,79.7
Australia,Foreign-born,Men,Employment rate,2020,Percentage,78.3
Australia,Foreign-born,Men,Employment rate,2021,Percentage,81.0
Australia,Foreign-born,Men,Unemployment rate,2000,Percentage,6.5
Australia,Foreign-born,Men,Unemployment rate,2001,Percentage,7.1
Australia,Foreign-born,Men,Unemployment rate,2002,Percentage,6.8
Australia,Foreign-born,Men,Unemployment rate,2003,Percentage,6.4
Australia,Foreign-born,Men,Unemployment rate,2004,Percentage,5.3
Australia,Foreign-born,Men,Unemployment rate,2005,Percentage,5.2
Australia,Foreign-born,Men,Unemployment rate,2006,Percentage,4.8
Australia,Foreign-born,Men,Unemployment rate,2007,Percentage,4.3
Australia,Foreign-born,Men,Unemployment rate,2008,Percentage,4.2
Australia,Foreign-born,Men,Unemployment rate,2009,Percentage,6.5
Australia,Foreign-born,Men,Unemployment rate,2010,Percentage,5.1
Australia,Foreign-born,Men,Unemployment rate,2011,Percentage,4.6
Australia,Foreign-born,Men,Unemployment rate,2012,Percentage,4.9
Australia,Foreign-born,Men,Unemployment rate,2013,Percentage,5.8
Australia,Foreign-born,Men,Unemployment rate,2014,Percentage,5.7
Australia,Foreign-born,Men,Unemployment rate,2015,Percentage,5.8
Australia,Foreign-born,Men,Unemployment rate,2016,Percentage,5.4
Australia,Foreign-born,Men,Unemployment rate,2017,Percentage,5.2
Australia,Foreign-born,Men,Unemployment rate,2018,Percentage,4.7
Australia,Foreign-born,Men,Unemployment rate,2019,Percentage,4.9
Australia,Foreign-born,Men,Unemployment rate,2020,Percentage,6.6
Australia,Foreign-born,Men,Unemployment rate,2021,Percentage,4.9
Australia,Foreign-born,Men,Participation rate,2000,Percentage,79.1
Australia,Foreign-born,Men,Participation rate,2001,Percentage,79.6
Australia,Foreign-born,Men,Participation rate,2002,Percentage,79.4
Australia,Foreign-born,Men,Participation rate,2003,Percentage,79.2
Australia,Foreign-born,Men,Participation rate,2004,Percentage,79.8
Australia,Foreign-born,Men,Participation rate,2005,Percentage,80.8
Australia,Foreign-born,Men,Participation rate,2006,Percentage,81.0
Australia,Foreign-born,Men,Participation rate,2007,Percentage,81.3
Australia,Foreign-born,Men,Participation rate,2008,Percentage,82.0
